Geslacht;Bedrijfstakken/branches (SBI 2008);Perioden;Onderwerp;Type werkenden;Waarde
Mannen;A Landbouw, bosbouw en visserij;2013;Werkzame personen;Werknemers;68
Mannen;A Landbouw, bosbouw en visserij;2013;Werkzame personen;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2013;Banen;Werknemers;75
Mannen;A Landbouw, bosbouw en visserij;2013;Banen;Zelfstandigen;89
Mannen;A Landbouw, bosbouw en visserij;2013;Arbeidsjaren;Werknemers;56
Mannen;A Landbouw, bosbouw en visserij;2013;Arbeidsjaren;Zelfstandigen;64
Mannen;A Landbouw, bosbouw en visserij;2013;Gewerkte uren;Werknemers;102
Mannen;A Landbouw, bosbouw en visserij;2013;Gewerkte uren;Zelfstandigen;181
Mannen;A Landbouw, bosbouw en visserij;2014;Werkzame personen;Werknemers;67
Mannen;A Landbouw, bosbouw en visserij;2014;Werkzame personen;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2014;Banen;Werknemers;75
Mannen;A Landbouw, bosbouw en visserij;2014;Banen;Zelfstandigen;89
Mannen;A Landbouw, bosbouw en visserij;2014;Arbeidsjaren;Werknemers;55
Mannen;A Landbouw, bosbouw en visserij;2014;Arbeidsjaren;Zelfstandigen;64
Mannen;A Landbouw, bosbouw en visserij;2014;Gewerkte uren;Werknemers;101
Mannen;A Landbouw, bosbouw en visserij;2014;Gewerkte uren;Zelfstandigen;181
Mannen;A Landbouw, bosbouw en visserij;2015;Werkzame personen;Werknemers;66
Mannen;A Landbouw, bosbouw en visserij;2015;Werkzame personen;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2015;Banen;Werknemers;73
Mannen;A Landbouw, bosbouw en visserij;2015;Banen;Zelfstandigen;90
Mannen;A Landbouw, bosbouw en visserij;2015;Arbeidsjaren;Werknemers;54
Mannen;A Landbouw, bosbouw en visserij;2015;Arbeidsjaren;Zelfstandigen;63
Mannen;A Landbouw, bosbouw en visserij;2015;Gewerkte uren;Werknemers;98
Mannen;A Landbouw, bosbouw en visserij;2015;Gewerkte uren;Zelfstandigen;181
Mannen;A Landbouw, bosbouw en visserij;2016;Werkzame personen;Werknemers;67
Mannen;A Landbouw, bosbouw en visserij;2016;Werkzame personen;Zelfstandigen;67
Mannen;A Landbouw, bosbouw en visserij;2016;Banen;Werknemers;73
Mannen;A Landbouw, bosbouw en visserij;2016;Banen;Zelfstandigen;91
Mannen;A Landbouw, bosbouw en visserij;2016;Arbeidsjaren;Werknemers;55
Mannen;A Landbouw, bosbouw en visserij;2016;Arbeidsjaren;Zelfstandigen;65
Mannen;A Landbouw, bosbouw en visserij;2016;Gewerkte uren;Werknemers;101
Mannen;A Landbouw, bosbouw en visserij;2016;Gewerkte uren;Zelfstandigen;186
Mannen;A Landbouw, bosbouw en visserij;2017;Werkzame personen;Werknemers;68
Mannen;A Landbouw, bosbouw en visserij;2017;Werkzame personen;Zelfstandigen;67
Mannen;A Landbouw, bosbouw en visserij;2017;Banen;Werknemers;75
Mannen;A Landbouw, bosbouw en visserij;2017;Banen;Zelfstandigen;92
Mannen;A Landbouw, bosbouw en visserij;2017;Arbeidsjaren;Werknemers;56
Mannen;A Landbouw, bosbouw en visserij;2017;Arbeidsjaren;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2017;Gewerkte uren;Werknemers;104
Mannen;A Landbouw, bosbouw en visserij;2017;Gewerkte uren;Zelfstandigen;190
Mannen;A Landbouw, bosbouw en visserij;2018;Werkzame personen;Werknemers;69
Mannen;A Landbouw, bosbouw en visserij;2018;Werkzame personen;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2018;Banen;Werknemers;76
Mannen;A Landbouw, bosbouw en visserij;2018;Banen;Zelfstandigen;92
Mannen;A Landbouw, bosbouw en visserij;2018;Arbeidsjaren;Werknemers;58
Mannen;A Landbouw, bosbouw en visserij;2018;Arbeidsjaren;Zelfstandigen;66
Mannen;A Landbouw, bosbouw en visserij;2018;Gewerkte uren;Werknemers;107
Mannen;A Landbouw, bosbouw en visserij;2018;Gewerkte uren;Zelfstandigen;185
Mannen;B Delfstoffenwinning;2013;Werkzame personen;Werknemers;8
Mannen;B Delfstoffenwinning;2013;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2013;Banen;Werknemers;8
Mannen;B Delfstoffenwinning;2013;Banen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2013;Arbeidsjaren;Werknemers;8
Mannen;B Delfstoffenwinning;2013;Arbeidsjaren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2013;Gewerkte uren;Werknemers;16
Mannen;B Delfstoffenwinning;2013;Gewerkte uren;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2014;Werkzame personen;Werknemers;9
Mannen;B Delfstoffenwinning;2014;Werkzame personen;Zelfstandigen;0
Mannen;B Delfstoffenwinning;2014;Banen;Werknemers;9
Mannen;B Delfstoffenwinning;2014;Banen;Zelfstandigen;0
